100
689,846 689,846
798,497 798,497
738,126 738,126
297,403 297,403
968,685 968,685
417,132 417,132
504,912 504,912
365,757 365,757
690,147 690,147
833,799 833,799
714,958 714,958
647,239 647,239
326,763 326,763
485,541 485,541
219,842 219,842
385,524 385,524
995,661 995,661
512,214 512,214
471,993 471,993
830,143 830,143
157,278 157,278
610,837 610,837
241,765 241,765
642,528 642,528
736,134 736,134
537,592 537,592
348,459 348,459
951,183 951,183
158,462 158,462
563,953 563,953
883,314 883,314
238,437 238,437
841,742 841,742
192,527 192,527
703,286 703,286
913,598 913,598
379,812 379,812
621,425 621,425
543,362 543,362
216,481 216,481
354,974 354,974
741,235 741,235
921,197 921,197
264,682 264,682
332,109 332,109
798,927 798,927
657,213 657,213
458,473 458,473
764,307 764,307
379,643 379,643
647,512 647,512
872,168 872,168
231,908 231,908
588,234 588,234
371,349 371,349
153,720 153,720
973,589 973,589
126,615 126,615
684,488 684,488
745,196 745,196
512,811 512,811
854,295 854,295
624,381 624,381
817,469 817,469
295,286 295,286
673,514 673,514
541,647 541,647
157,753 157,753
468,399 468,399
947,516 947,516
129,327 129,327
686,827 686,827
815,157 815,157
573,694 573,694
742,436 742,436
972,238 972,238
485,629 485,629
261,376 261,376
193,956 193,956
561,182 561,182
723,818 723,818
518,346 518,346
479,714 479,714
871,563 871,563
356,129 356,129
928,468 928,468
253,379 253,379
389,856 389,856
471,693 471,693
683,972 683,972
427,298 427,298
141,497 141,497
521,137 521,137
935,174 935,174
394,618 394,618
788,758 788,758
659,213 659,213
431,583 431,583
372,845 372,845
653,182 653,182
