100
288,9 285,2
367,0 539,7
331,6 671,0
46,8 629,4
-97,4 609,0
-151,3 593,2
-378,0 696,9
-423,6 682,9
-449,4 613,7
-509,5 641,6
-613,5 439,5
-556,1 404,7
-553,3 255,0
-663,1 272,5
-568,9 116,4
-426,4 27,4
-501,5 -29,3
-982,0 25,9
-959,9 113,3
-864,9 828,7
-676,1 925,9
-403,6 807,7
-350,3 977,6
-154,1 903,5
-48,8 865,0
74,3 911,6
328,6 979,0
218,5 831,9
226,1 767,3
241,2 565,6
463,1 582,1
574,5 629,7
734,2 778,2
905,5 916,9
927,4 784,4
888,4 828,8
904,1 717,4
914,6 630,0
711,3 665,6
763,0 566,7
662,4 447,4
679,5 341,2
823,3 251,6
908,2 210,3
935,7 203,0
580,8 117,9
583,0 21,3
572,9 -17,6
555,0 -35,4
616,5 -234,5
928,5 -290,3
643,8 -500,9
732,5 -585,3
811,5 -606,3
863,7 -654,4
872,4 -778,5
863,6 -909,3
636,7 -831,3
255,4 -634,4
74,5 -808,2
-30,8 -681,9
-162,5 -581,8
-201,5 -465,4
-11,4 -497,7
75,7 -325,2
-104,7 -204,2
-229,3 -136,8
-388,6 38,1
-621,4 -46,4
-889,2 -405,5
-840,5 -443,5
-930,2 -797,1
-989,6 -955,5
-971,7 -984,1
-631,0 -856,1
-680,0 -746,8
-716,4 -614,9
-614,7 -443,4
-484,7 -606,0
-491,9 -860,1
-384,0 -998,8
-360,9 -695,1
-257,2 -645,3
-357,8 -613,9
-351,0 -374,2
-170,8 -228,3
15,7 -179,4
-42,2 -112,2
8,9 -86,0
-167,4 43,2
-276,5 330,7
-89,8 282,4
-124,2 229,3
-48,9 164,2
-7,3 135,6
39,2 35,5
300,2 -22,8
389,2 -78,8
320,3 -96,9
437,3 132,1
