200
852,251 852,251
678,197 678,197
170,39 170,39
777,643 777,643
77,920 77,920
521,237 521,237
286,170 286,170
105,795 105,795
572,348 572,348
418,17 418,17
23,601 23,601
463,574 463,574
407,715 407,715
111,535 111,535
500,482 500,482
445,775 445,775
289,254 289,254
391,903 391,903
398,635 398,635
58,905 58,905
892,937 892,937
51,226 51,226
380,40 380,40
237,145 237,145
335,729 335,729
772,317 772,317
89,689 89,689
59,912 59,912
976,283 976,283
688,49 688,49
968,384 968,384
138,652 138,652
14,270 14,270
20,918 20,918
417,284 417,284
973,736 973,736
902,643 902,643
439,537 439,537
785,809 785,809
52,37 52,37
917,97 917,97
831,379 831,379
692,859 692,859
94,681 94,681
859,625 859,625
274,752 274,752
516,366 516,366
253,896 253,896
146,186 146,186
328,224 328,224
103,556 103,556
911,39 911,39
15,755 15,755
828,922 828,922
850,694 850,694
368,683 368,683
417,62 417,62
368,303 368,303
556,826 556,826
25,128 25,128
657,263 657,263
968,78 968,78
380,176 380,176
777,754 777,754
741,564 741,564
564,686 564,686
341,286 341,286
245,222 245,222
941,493 941,493
224,70 224,70
570,6 570,6
367,55 367,55
624,883 624,883
909,118 909,118
352,371 352,371
905,195 905,195
934,94 934,94
558,981 558,981
35,267 35,267
802,69 802,69
242,120 242,120
829,726 829,726
209,249 209,249
382,821 382,821
283,629 283,629
960,228 960,228
702,878 702,878
629,931 629,931
97,842 97,842
55,942 55,942
872,730 872,730
324,60 324,60
824,303 824,303
160,743 160,743
206,469 206,469
753,110 753,110
690,382 690,382
491,515 491,515
366,280 366,280
38,956 38,956
742,179 742,179
218,547 218,547
658,159 658,159
325,720 325,720
804,454 804,454
14,55 14,55
194,732 194,732
679,849 679,849
92,48 92,48
74,924 74,924
102,250 102,250
342,64 342,64
883,634 883,634
391,398 391,398
792,299 792,299
684,796 684,796
53,74 53,74
194,865 194,865
618,155 618,155
964,890 964,890
217,26 217,26
191,1000 191,1000
539,61 539,61
493,493 493,493
193,287 193,287
991,646 991,646
138,710 138,710
811,915 811,915
119,412 119,412
563,202 563,202
622,679 622,679
655,388 655,388
801,220 801,220
206,155 206,155
403,780 403,780
699,135 699,135
387,10 387,10
100,986 100,986
206,187 206,187
249,285 249,285
315,89 315,89
616,587 616,587
576,936 576,936
710,429 710,429
122,801 122,801
595,417 595,417
493,161 493,161
774,574 774,574
171,43 171,43
846,228 846,228
206,16 206,16
956,762 956,762
500,289 500,289
105,982 105,982
180,254 180,254
733,319 733,319
964,174 964,174
283,50 283,50
747,782 747,782
593,643 593,643
1000,850 1000,850
764,200 764,200
312,659 312,659
822,59 822,59
245,325 245,325
105,667 105,667
201,579 201,579
280,300 280,300
245,991 245,991
562,614 562,614
625,576 625,576
887,465 887,465
354,843 354,843
576,82 576,82
11,707 11,707
543,101 543,101
648,221 648,221
315,895 315,895
97,826 97,826
452,378 452,378
537,413 537,413
98,309 98,309
582,219 582,219
739,781 739,781
264,105 264,105
382,522 382,522
486,287 486,287
431,750 431,750
658,366 658,366
912,527 912,527
845,172 845,172
398,924 398,924
175,284 175,284
261,367 261,367
571,915 571,915
142,463 142,463
327,603 327,603
860,714 860,714
779,351 779,351
653,182 653,182
